SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	symbols	
21	04-Mar-2016	  23	Blue	t	0	1.1697	H	K	TUPH	MJOK	brrr	rbbb	4	650	1	6	0
21	04-Mar-2016	  24	Blue	q	0	1.3333	Y	B	DGYN	MEBU	rrr	bbb	3	650	1	6	0
21	04-Mar-2016	  25	Blue	z	0	1.0537	Y	K	GMZY	JFSK	bbbr	rrrb	4	650	1	6	0
21	04-Mar-2016	  26	Blue	a	1	1.2508	E	A	EKMQ	ATFZ	r	b	1	650	1	6	0
21	04-Mar-2016	  27	Blue	w	0	1.7909	X	B	FKAX	LYJB	bbbr	rrrb	4	650	1	6	0
21	04-Mar-2016	  28	Blue	q	0	1.4653	U	M	ULSC	MFQW	r	b	1	650	1	6	0
21	04-Mar-2016	  29	Blue	w	0	1.2027	I	T	OICY	XTKW	rb	br	2	650	1	6	0
21	04-Mar-2016	  30	Blue	z	0	1.2813	D	U	ZXBD	QTWU	rbbr	brrb	4	2000	1	6	0
21	04-Mar-2016	  31	Blue	o	0	1.1854	L	E	BLQA	OEUM	rr	bb	2	2000	1	6	0
21	04-Mar-2016	  32	Blue	i	0	1.2313	S	U	XDIS	TLAU	rbbb	brrr	4	650	1	6	0
21	04-Mar-2016	   1	Red	c	0	0.9407	S	Y	QCNS	JZMY	rrbb	bbrr	4	650	1	6	0
21	04-Mar-2016	   2	Red	i	1	0.9836	B	I	JBAE	VIRN	rb	br	2	2000	1	6	0
21	04-Mar-2016	   3	Red	y	0	1.0268	X	J	HVXE	AYJN	bbr	rrb	3	650	1	6	0
21	04-Mar-2016	   4	Red	k	0	1.1551	N	T	KNZY	QTHO	rr	bb	2	2000	1	6	0
21	04-Mar-2016	   5	Red	z	0	0.9290	Y	S	UNPY	ZOMS	bbrr	rrbb	4	650	1	6	0
21	04-Mar-2016	   6	Red	j	0	1.2517	H	X	JHGK	LXIS	rb	br	2	650	1	6	0
21	04-Mar-2016	   7	Red	n	1	1.5948	Y	N	YQDW	NPGJ	b	r	1	650	1	6	0
21	04-Mar-2016	   8	Red	u	1	1.2173	U	S	XKUE	ZRSY	brr	rbb	3	650	1	6	0
21	04-Mar-2016	   9	Red	u	0	1.5846	R	P	RAZV	PUKQ	b	r	1	650	1	6	0
21	04-Mar-2016	  10	Red	z	0	1.3558	U	K	UQEV	KYOD	b	r	1	2000	1	6	0
21	04-Mar-2016	  11	Red	z	0	1.5365	M	K	ZMSF	LKCH	rr	bb	2	650	1	6	0
21	04-Mar-2016	  12	Red	n	0	1.3213	C	Q	JSZC	NMTQ	brrb	rbbr	4	650	1	6	0
21	04-Mar-2016	  13	Red	j	0	1.1815	P	S	ZPXB	JSEM	bb	rr	2	650	1	6	0
21	04-Mar-2016	  14	Red	n	0	1.4314	D	R	DTZM	RNGU	b	r	1	2000	1	6	0
21	04-Mar-2016	  15	Red	j	0	1.2210	D	K	QLDH	JXKN	bbb	rrr	3	2000	1	6	0
21	04-Mar-2016	  16	Red	t	1	1.2185	C	T	SKLC	YJDT	brbb	rbrr	4	2000	1	6	0
21	04-Mar-2016	  17	Red	s	0	1.1150	D	E	SDAK	GEUR	rb	br	2	2000	1	6	0
21	04-Mar-2016	  18	Red	d	0	1.2411	W	A	DKWL	XVAY	rbr	brb	3	650	1	6	0
21	04-Mar-2016	  19	Red	s	1	1.3052	M	S	MPYB	SRIQ	b	r	1	650	1	6	0
